result_cat,pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
"Population-weighted
importation",Diphtheria,5% lower,US,8.870000000000001,1,29
Primary result,Diphtheria,Current levels,US,8.285000000000002,1,22
"Population-weighted
importation",Diphtheria,Current levels,US,8.627399999999998,1,28
Primary result,Diphtheria,5% higher,US,8.036999999999999,1,22
"Population-weighted
importation",Diphtheria,5% higher,US,8.065999999999999,1.9750000000000014,22
Primary result,Diphtheria,10% higher,US,7.895999999999999,1,21.024999999999864
"Population-weighted
importation",Diphtheria,10% higher,US,7.891,1,21
Primary result,Polio,50% lower,US,4332220.038999998,4,21497369.34999998
"Population-weighted
importation",Polio,50% lower,US,4065066.5392,4,19798158.199999996
Primary result,Polio,45% lower,US,3477540.707400001,4,18446912.97499999
"Population-weighted
importation",Polio,45% lower,US,3339692.301199999,3,19278920.45
Primary result,Polio,40% lower,US,2758727.352599997,4,16787760.474999994
"Population-weighted
importation",Polio,40% lower,US,2642247.1302000014,4,16565133.65
Primary result,Polio,35% lower,US,1677126.2984000007,4,14880807.849999998
"Population-weighted
importation",Polio,35% lower,US,1919872.4617999988,3.9750000000000014,15548782.674999999
Primary result,Polio,30% lower,US,878245.5951999999,4,12290026.324999996
"Population-weighted
importation",Polio,30% lower,US,1177408.244,4,14067467.724999998
Primary result,Polio,25% lower,US,87577.59039999994,3,1700736.949999998
"Population-weighted
importation",Polio,25% lower,US,117478.65280000016,4,1934545.7249999975
Primary result,Polio,20% lower,US,416.8994999999992,3,8886.749999999964
"Population-weighted
importation",Polio,20% lower,US,330.00239999999945,4,6021.699999999996
Primary result,Polio,15% lower,US,41.369099999999996,4,304.02499999999986
"Population-weighted
importation",Polio,15% lower,US,50.824200000000005,4,329.14999999999986
Primary result,Polio,10% lower,US,27.400599999999997,3,119.02499999999986
"Population-weighted
importation",Polio,10% lower,US,33.05359999999999,3.9750000000000014,157.02499999999998
Primary result,Polio,5% lower,US,21.274,4,78
"Population-weighted
importation",Polio,5% lower,US,29.418799999999997,4,107.04999999999995
Primary result,Polio,Current levels,US,18.265000000000008,3,61.024999999999864
"Population-weighted
importation",Polio,Current levels,US,24.952,3,84.04999999999995
Primary result,Polio,5% higher,US,15.841399999999997,3,49
"Population-weighted
importation",Polio,5% higher,US,21.795399999999997,3.9750000000000014,67.02499999999998
Primary result,Polio,10% higher,US,15.546500000000004,3,49
"Population-weighted
importation",Polio,10% higher,US,20.197999999999997,3,57.02499999999998
