pathogen_cat,metric_cat,state,vaccine_coverage_cat,time,winsorized_mean,mean,p025,p975
Measles,Cumulative new infections,US,Current levels,134,35.891,36.142999999999994,10,85.02499999999986
Measles,Cumulative new infections,US,Current levels,136,36.66799999999999,36.931999999999995,10,87
Measles,Cumulative new infections,US,Current levels,138,37.46099999999999,37.7355,10,88
Measles,Cumulative new infections,US,Current levels,140,38.31499999999997,38.59449999999999,11,90
Measles,Cumulative new infections,US,Current levels,142,39.1395,39.434000000000005,11,93
Measles,Cumulative new infections,US,Current levels,144,39.986399999999996,40.27450000000001,11,94
Measles,Cumulative new infections,US,Current levels,146,40.8075,41.10650000000001,12,96
Measles,Cumulative new infections,US,Current levels,148,41.675000000000004,41.9665,12,98
Measles,Cumulative new infections,US,Current levels,150,42.535599999999995,42.839,12,100
Measles,Cumulative new infections,US,Current levels,152,43.366000000000014,43.693999999999996,12,101.02499999999986
Measles,Cumulative new infections,US,Current levels,154,44.215999999999994,44.5555,13,104
Measles,Cumulative new infections,US,Current levels,156,45.10049999999999,45.45549999999998,13,106
Measles,Cumulative new infections,US,Current levels,158,45.95000000000001,46.3085,13,108
Measles,Cumulative new infections,US,Current levels,160,46.7899,47.15500000000001,13,109
Measles,Cumulative new infections,US,Current levels,162,47.654399999999995,48.0315,14,111
Measles,Cumulative new infections,US,Current levels,164,48.496500000000005,48.861000000000004,14,113
Measles,Cumulative new infections,US,Current levels,166,49.345399999999984,49.725999999999985,14,115
Measles,Cumulative new infections,US,Current levels,168,50.2239,50.617000000000004,14,117.02499999999986
Measles,Cumulative new infections,US,Current levels,170,51.099499999999985,51.5015,15,119.02499999999986
Measles,Cumulative new infections,US,Current levels,172,51.9885,52.40749999999999,15,122
Measles,Cumulative new infections,US,Current levels,174,52.847900000000024,53.27000000000001,15,124
Measles,Cumulative new infections,US,Current levels,176,53.79199999999999,54.2085,15,125.04999999999973
Measles,Cumulative new infections,US,Current levels,178,54.673500000000004,55.107499999999995,16,129
Measles,Cumulative new infections,US,Current levels,180,55.54599999999998,55.96300000000002,16,130
Measles,Cumulative new infections,US,Current levels,182,56.41709999999999,56.846,17,132
Measles,Cumulative new infections,US,Current levels,184,57.3344,57.77450000000001,17,133
Measles,Cumulative new infections,US,Current levels,186,58.18800000000001,58.660999999999994,17,135
Measles,Cumulative new infections,US,Current levels,188,59.094999999999985,59.58549999999999,17.975,138
Measles,Cumulative new infections,US,Current levels,190,60.03710000000001,60.5225,18,139.02499999999986
Measles,Cumulative new infections,US,Current levels,192,60.963,61.4455,18,141
Measles,Cumulative new infections,US,Current levels,194,61.875400000000006,62.382,18,142
Measles,Cumulative new infections,US,Current levels,196,62.82589999999998,63.30599999999999,19,143.04999999999973
Measles,Cumulative new infections,US,Current levels,198,63.74990000000001,64.23949999999999,19.975,144.02499999999986
Measles,Cumulative new infections,US,Current levels,200,64.68500000000002,65.19999999999999,20,148.02499999999986
Measles,Cumulative new infections,US,Current levels,202,65.6245,66.12,20,150
Measles,Cumulative new infections,US,Current levels,204,66.5348,67.0625,21,152
Measles,Cumulative new infections,US,Current levels,206,67.4504,68.001,21,154
Measles,Cumulative new infections,US,Current levels,208,68.44089999999998,68.97399999999999,21,157
Measles,Cumulative new infections,US,Current levels,210,69.394,69.90749999999998,21,160
Measles,Cumulative new infections,US,Current levels,212,70.319,70.84250000000002,22,161.02499999999986
Measles,Cumulative new infections,US,Current levels,214,71.2329,71.7725,22,163
Measles,Cumulative new infections,US,Current levels,216,72.16579999999998,72.708500000000015,23,165
Measles,Cumulative new infections,US,Current levels,218,73.09250000000002,73.61449999999999,23,167
Measles,Cumulative new infections,US,Current levels,220,74.0355,74.577,23,170
Measles,Cumulative new infections,US,Current levels,222,74.9635,75.52749999999999,23.975,171.02499999999986
Measles,Cumulative new infections,US,Current levels,224,75.89900000000003,76.45950000000002,24,175
Measles,Cumulative new infections,US,Current levels,226,76.86039999999998,77.42099999999999,24,176
Measles,Cumulative new infections,US,Current levels,228,77.81800000000001,78.37650000000001,25,178
Measles,Cumulative new infections,US,Current levels,230,78.81040000000002,79.37299999999999,25,180.02499999999986
Measles,Cumulative new infections,US,Current levels,232,79.73539999999996,80.31599999999997,26,181.02499999999986
Measles,Cumulative new infections,US,Current levels,234,80.6535,81.25699999999999,26,185
Measles,Cumulative new infections,US,Current levels,236,81.65739999999998,82.2695,26,186.02499999999986
Measles,Cumulative new infections,US,Current levels,238,82.6209,83.22650000000002,27,189.02499999999986
Measles,Cumulative new infections,US,Current levels,240,83.62939999999998,84.23249999999999,27,192
Measles,Cumulative new infections,US,Current levels,242,84.59300000000002,85.21750000000002,28,193.02499999999986
Measles,Cumulative new infections,US,Current levels,244,85.5569,86.1825,28,194.02499999999986
Measles,Cumulative new infections,US,Current levels,246,86.497,87.146,29,198
Measles,Cumulative new infections,US,Current levels,248,87.4455,88.117,29.975,199.04999999999973
Measles,Cumulative new infections,US,Current levels,250,88.37549999999999,89.06499999999998,30,203
