result_cat,pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
"Static
importation",Diphtheria,10% higher,US,7.579000000000001,1,22
Primary result,Polio,50% lower,US,4332220.038999998,4,21497369.34999998
"Static
importation",Polio,50% lower,US,2590891.7869999995,2,17416064.649999995
Primary result,Polio,45% lower,US,3477540.707400001,4,18446912.97499999
"Static
importation",Polio,45% lower,US,2159671.852000001,1,14890434.424999999
Primary result,Polio,40% lower,US,2758727.352599997,4,16787760.474999994
"Static
importation",Polio,40% lower,US,1753965.8352000006,1,15308730.349999998
Primary result,Polio,35% lower,US,1677126.2984000007,4,14880807.849999998
"Static
importation",Polio,35% lower,US,1283465.1816000012,2,13874826.549999999
Primary result,Polio,30% lower,US,878245.5951999999,4,12290026.324999996
"Static
importation",Polio,30% lower,US,606839.8349999998,2,6877967.324999998
Primary result,Polio,25% lower,US,87577.59039999994,3,1700736.949999998
"Static
importation",Polio,25% lower,US,47086.65179999993,1,1105451.299999999
Primary result,Polio,20% lower,US,416.8994999999992,3,8886.749999999964
"Static
importation",Polio,20% lower,US,100.81900000000012,2,972.649999999993
Primary result,Polio,15% lower,US,41.369099999999996,4,304.02499999999986
"Static
importation",Polio,15% lower,US,26.571999999999946,2,221.02499999999998
Primary result,Polio,10% lower,US,27.400599999999997,3,119.02499999999986
"Static
importation",Polio,10% lower,US,16.975,1,96
Primary result,Polio,5% lower,US,21.274,4,78
"Static
importation",Polio,5% lower,US,14.452399999999997,1,66
Primary result,Polio,Current levels,US,18.265000000000008,3,61.024999999999864
"Static
importation",Polio,Current levels,US,12.834999999999996,1,50
Primary result,Polio,5% higher,US,15.841399999999997,3,49
"Static
importation",Polio,5% higher,US,10.934800000000003,1,38.02499999999998
Primary result,Polio,10% higher,US,15.546500000000004,3,49
"Static
importation",Polio,10% higher,US,11.386000000000001,2,40
